 DATE        PS_LEVEL        PS_INNOV          PS_VWF
19991231    -0.076955442    -0.084168277    -0.025026388
20000131    -0.067931978     -0.04485703     0.015269988
20000229    -0.037527186    -0.006958073     0.010715047
20000331    -0.004191314     0.112304569    -0.000534409
20000428    -0.224257305    -0.219185051    -0.042483813
20000531     0.057881525     0.079455912    -0.031398799
20000630    -0.180084977    -0.154892102    -0.032265618
20000731     0.048942903    -0.060634885     0.109318836
20000831    -0.071211337     0.005147132    -0.015477673
20000929    -0.165517654    -0.126639078    -0.038164096
20001031     -0.13128308     0.006356992     0.020574538
20001130    -0.158426987    -0.136029526    -0.044313948
20001229     0.094589604     0.060442668      0.00668651
20010131    -0.121497554    -0.029100569     0.066018743
20010228    -0.049624217    -0.064790668      0.04707572
20010330    -0.055132384     0.026769729     0.073044584
20010430    -0.071088403     0.096706104     0.002068003
20010531      0.09925411     0.114937258     0.029494791
20010629     0.018838223     0.089573006    -0.001710271
20010731    -0.057640525    -0.009654186      0.03623633
20010831    -0.059307558     0.055725447     0.047512327
20010928    -0.037630875    -0.117466396    -0.101399965
20011031      0.06931297     0.100755433     0.028653752
20011130      0.02628871    -0.002899527      0.03566187
20011231     0.011857823     0.056979901     0.070008176
20020131    -0.066399823    -0.010170718    -0.011841107
20020228     -0.01284942    -0.010279509     0.017706574
20020328     0.062434571     0.029778605     0.087529161
20020430    -0.107336654    -0.028517742     0.050817988
20020531    -0.034168697    -0.043370811     0.050394959
20020628     -0.11681619    -0.057420583     -0.01158374
20020731    -0.049831681     0.003362173    -0.050440175
20020830    -0.013360102    -0.000534059     0.003768687
20020930    -0.170705069    -0.098490432    -0.008556524
20021031    -0.333629091    -0.149481119     0.032631403
20021129    -0.034881013     0.035928055     0.029838635
20021231    -0.169124756     0.003522953    -0.011773698
20030131    -0.084675115    -0.080426521     -0.02958649
20030228    -0.039299441    -0.036035158    -0.004041847
20030331    -0.107634796    -0.067072071    -0.002506616
20030430    -0.048785918    -0.003539727     0.060056668
20030530       0.0243809     0.019635448     0.014669537
20030630    -0.018698792     0.000298266    -0.017400554
20030731    -0.030032575     0.023700674     0.065307777
20030829     0.014239756     0.027267585     0.014306659
20030930    -0.106193949    -0.033990625     0.015790229
20031031    -0.041137112     0.004873255     0.022865078
20031128    -0.033497657    -0.005702733    -0.010819425
20031231    -0.019514244      0.04474467    -0.004928653
20040130    -0.108782883     -0.02136896    -0.047587744
20040227    -0.036674018    -0.057250305     0.021852395
20040331     0.020610232     0.070810051     0.018387516
20040430     -0.04982395     0.014634511       0.0000983
20040528     0.002389608    -0.015858714    -0.001193774
20040630      0.05725297     0.109735318     0.021264492
20040730    -0.032610132    -0.001233416     0.065259098
20040831    -0.002729541     0.033217282     0.060951974
20040930    -0.042488394    -0.008770525      0.00226814
20041029     0.023002051      0.02959354    -0.002103317
20041130    -0.012465145     0.027717674     0.005054624
20041231    -0.071758316    -0.031150904    -0.028038522
20050131    -0.007269829     0.006791776     0.032767077
20050228    -0.054691204    -0.002535481     0.044091417
20050331    -0.019307245     0.003017592     0.001348217
20050429    -0.127099614    -0.097115094    -0.049221959
20050531      0.00535905     0.052101615      0.00409488
20050630      0.00692278     0.084084793     0.049122167
20050729     0.044920157      0.04372597     0.023835346
20050831    -0.002211558     0.015914558     0.014052076
20050930    -0.025552418    -0.018491211     0.022321308
20051031    -0.062892028    -0.001876679     -0.03792053
20051130     0.134073271     0.103926028     0.008729196
20051230    -0.034083477     -0.07668953    -0.008507948
20060131    -0.058987315    -0.051055821     0.052585977
20060228    -0.057830758    -0.037205599     -0.01134938
20060331    -0.008709666     0.035863466     0.002352572
20060428    -0.065581594     0.020476481     0.003982331
20060531     0.049111115      0.10067864     0.016798496
20060630    -0.069104532     0.062884171     0.013641451
20060731     0.034366228      0.00286406     0.038411902
20060831      0.01089354    -0.043379332    -0.026419879
20060929    -0.080612087    -0.045339328     0.007517736
20061031     0.031744285     0.058987449     0.044257342
20061130    -0.012974425     0.039332131     0.018347459
20061229     0.026641222      0.02391602    -0.015139864
20070131     0.042704924     0.015612421     0.015376235
20070228     0.002368974     0.045691099     0.042297378
20070330    -0.034428903    -0.023463846     0.015701403
20070430    -0.010771593     0.009612918     0.005811386
20070531     0.053820409     0.071574505    -0.018217697
20070629      0.06769885     0.085620102     0.039795095
20070731    -0.008159848    -0.024861826     0.002112508
20070831    -0.151039652    -0.194371888    -0.011616469
20070928    -0.050594633    -0.034889696     0.034954087
20071031    -0.188882629    -0.043055477     0.017363851
20071130    -0.155189401    -0.018156162     -0.00492851
20071231    -0.025413119     0.028833215     0.013592084
20080131     -0.16037892    -0.058891956    -0.030124161
20080229     0.085976669    -0.008786793    -0.012187483
20080331    -0.285249633     -0.15111374       0.0265656
20080430     0.038078341     0.126195669     0.060669337
20080530    -0.014598591    -0.016005045     0.046836683
