PERMNO        date           nflx        vwretd        ewretd        sprtrn
   89393    20100920       0.017299      0.015165      0.017201      0.015210
   89393    20100921       0.030164     -0.003096     -0.002994     -0.002564
   89393    20100922       0.066101     -0.005024     -0.005267     -0.004825
   89393    20100923       0.022558     -0.008099     -0.006134     -0.008331
   89393    20100924       0.010843      0.021173      0.020093      0.021194
   89393    20100927       0.017138     -0.004455     -0.001481     -0.005667
   89393    20100928      -0.018971      0.005780      0.007405      0.004850
   89393    20100929       0.054183     -0.001081      0.002015     -0.002588
   89393    20100930      -0.049640     -0.001993      0.001188     -0.003084
   89393    20101001      -0.046251      0.004938      0.004502      0.004416
   89393    20101004       0.011186     -0.008282     -0.009036     -0.008035
   89393    20101005      -0.001455      0.020549      0.018548      0.020861
   89393    20101006      -0.037733     -0.000341     -0.000477     -0.000672
   89393    20101007       0.007719     -0.002127     -0.001648     -0.001647
   89393    20101008      -0.011821      0.007606      0.009939      0.006122
   89393    20101011       0.027065      0.000551      0.001862      0.000146
   89393    20101012       0.011061      0.003649      0.003780      0.003819
   89393    20101013      -0.005020      0.008783      0.011164      0.007121
   89393    20101014      -0.011836     -0.003668     -0.001723     -0.003641
   89393    20101015       0.019243      0.000698     -0.000574      0.002028
   89393    20101018      -0.017467      0.006289      0.005744      0.007244
   89393    20101019      -0.023987     -0.017199     -0.016739     -0.015877
   89393    20101020       0.025581      0.011258      0.010230      0.010524
   89393    20101021       0.127587      0.000277     -0.003003      0.001774
   89393    20101022      -0.026579      0.002655      0.005055      0.002389
   89393    20101025      -0.007496      0.003725      0.005167      0.002147
   89393    20101026       0.064613     -0.000428      0.000521      0.000017
   89393    20101027       0.004954     -0.003317     -0.004156     -0.002691
   89393    20101028      -0.015686      0.001143     -0.000824      0.001125
   89393    20101029      -0.012123      0.001654      0.003556     -0.000439
   89393    20101101      -0.035721      0.000144     -0.003474      0.000947
   89393    20101102       0.025333      0.009039      0.011684      0.007759
   89393    20101103      -0.000874      0.003447      0.002305      0.003678
   89393    20101104      -0.021229      0.019910      0.017268      0.019283
